seed,ablation,ablation_label,file,cell_type_gt,stage1_pred,stage1_conf,n_nodes,accuracy,neurite_macro_f1,soma_f1,axon_f1,basal_f1,apical_f1,pred_soma,pred_axon,pred_basal,pred_apical
123,stage2_only_gt_celltype,Stage2 only (GT cell type),hpf_ca1__202217_023_edited.swc,pyramidal,,,16882,0.996209,0.991100,1.000000,0.997600,0.980100,0.995600,1,13632,1106,2143
123,stage2_gnn_gt_celltype,Stage2 + GNN (GT cell type),hpf_ca1__202217_023_edited.swc,pyramidal,,,16882,0.996209,0.991100,1.000000,0.997600,0.980100,0.995600,1,13632,1106,2143
123,stage2_gnn_stage3_gt_celltype,Stage2 + GNN + Stage3 (GT cell type),hpf_ca1__202217_023_edited.swc,pyramidal,,,16882,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,13568,1151,2162
123,full_branch3_gt_celltype,Full Branch3 (GT cell type),hpf_ca1__202217_023_edited.swc,pyramidal,,,16882,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,13568,1151,2162
123,full_branch3_stage1_active,Full Branch3 (Stage1 active),hpf_ca1__202217_023_edited.swc,pyramidal,pyramidal,0.997621,16882,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,13568,1151,2162
123,stage2_only_gt_celltype,Stage2 only (GT cell type),hpf_ca1__202219_003_edited.swc,pyramidal,,,16614,0.996449,0.992200,1.000000,0.997900,0.993900,0.984700,1,14173,893,1547
123,stage2_gnn_gt_celltype,Stage2 + GNN (GT cell type),hpf_ca1__202219_003_edited.swc,pyramidal,,,16614,0.996449,0.992200,1.000000,0.997900,0.993900,0.984700,1,14173,893,1547
123,stage2_gnn_stage3_gt_celltype,Stage2 + GNN + Stage3 (GT cell type),hpf_ca1__202219_003_edited.swc,pyramidal,,,16614,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,14114,904,1595
123,full_branch3_gt_celltype,Full Branch3 (GT cell type),hpf_ca1__202219_003_edited.swc,pyramidal,,,16614,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,14114,904,1595
123,full_branch3_stage1_active,Full Branch3 (Stage1 active),hpf_ca1__202219_003_edited.swc,pyramidal,pyramidal,0.997570,16614,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,14114,904,1595
