method,file,cell_type,n_nodes,accuracy,neurite_macro_f1
neurom_rf,hpf_ca1__202669_010_edited.swc,pyramidal,70004,0.9411,0.7486
neurom_rf,hpf_ca1__202669_011_edited.swc,pyramidal,47086,0.9440,0.7278
neurom_rf,hpf_ca1__202669_013_edited.swc,pyramidal,20572,0.9249,0.8762
neurom_rf,hpf_ca1__202669_017_edited.swc,pyramidal,28523,0.9707,0.8260
neurom_rf,hpf_ca1__202674_003_edited.swc,pyramidal,17479,0.7075,0.6691
neurom_rf,hpf_ca1__202674_009_edited.swc,pyramidal,26981,0.9646,0.8827
neurom_rf,hpf_ca1__202674_013_edited.swc,pyramidal,58379,0.9540,0.7664
neurom_rf,hpf_ca1__202674_035_edited.swc,pyramidal,45387,0.8521,0.8031
neurom_rf,hpf_ca1__202679_007_edited.swc,pyramidal,87405,0.9403,0.6807
neurom_rf,hpf_ca1__202679_024_edited.swc,pyramidal,22117,0.9576,0.8081
neurom_rf,hpf_ca1__202679_026_edited.swc,pyramidal,23480,0.9463,0.8528
neurom_rf,hpf_ca1__202680_005_edited.swc,pyramidal,43095,0.9781,0.8418
neurom_rf,hpf_ca1__202680_013_edited.swc,pyramidal,16285,0.9459,0.8570
neurom_rf,hpf_ca1__202680_015_edited.swc,pyramidal,16893,0.9205,0.8148
neurom_rf,hpf_ca1__202680_018_edited.swc,pyramidal,30856,0.9697,0.8922
neurom_rf,hpf_ca1__202680_025_edited.swc,pyramidal,43293,0.9250,0.8990
neurom_rf,hpf_ca1__202680_030_edited.swc,pyramidal,27997,0.9281,0.8062
neurom_rf,hpf_ca1__202680_031_edited.swc,pyramidal,20275,0.8800,0.7276
neurom_rf,hpf_ca1__202681_018_edited.swc,pyramidal,12527,0.9658,0.8970
neurom_rf,hpf_ca1__202682_004_edited.swc,pyramidal,56403,0.9113,0.6655
neurom_rf,hpf_ca1__202682_007_edited.swc,pyramidal,13300,0.9788,0.9381
neurom_rf,hpf_ca1__202682_014_edited.swc,pyramidal,18206,0.9732,0.9060
neurom_rf,hpf_ca1__202682_015_edited.swc,pyramidal,38863,0.9544,0.8719
neurom_rf,hpf_ca1__202682_018_edited.swc,pyramidal,18449,0.9677,0.8934
neurom_rf,hpf_ca1__202682_019_edited.swc,pyramidal,13959,0.9747,0.9251
neurom_rf,hpf_ca1__202803_002_edited.swc,pyramidal,58789,0.9788,0.8601
neurom_rf,hpf_ca1__202807_027_edited.swc,pyramidal,100541,0.9865,0.8710
neurom_rf,hpf_ca1__202807_028_edited.swc,pyramidal,38279,0.9364,0.6978
neurom_rf,hpf_ca1__202809_005_edited.swc,pyramidal,42184,0.9689,0.8476
neurom_rf,hpf_ca1__202829_024_edited.swc,pyramidal,13498,0.8997,0.7929
neurom_rf,hpf_ca1__202829_027_edited.swc,pyramidal,18712,0.9554,0.8770
neurom_rf,hpf_ca1__202829_049_edited.swc,pyramidal,46877,0.9610,0.8280
neurom_rf,hpf_ca1__202829_085_edited.swc,pyramidal,53935,0.9475,0.7382
neurom_rf,hpf_ca1__202829_091_edited.swc,pyramidal,20396,0.9638,0.9050
neurom_rf,hpf_ca1__202829_094_edited.swc,pyramidal,20062,0.9339,0.7301
neurom_rf,hpf_ca1__202829_110_edited.swc,pyramidal,14780,0.9402,0.8208
neurom_rf,hpf_ca1__202831_005_edited.swc,pyramidal,54898,0.9088,0.7086
neurom_rf,hpf_ca1__210009_021_edited.swc,pyramidal,19813,0.9417,0.8070
neurom_rf,hpf_ca1__210009_025_edited.swc,pyramidal,31946,0.9514,0.7773
neurom_rf,hpf_ca1__210013_013_edited.swc,pyramidal,53050,0.9708,0.5874
neurom_rf,hpf_ca1__210014_017_edited.swc,pyramidal,62516,0.9690,0.7094
neurom_rf,hpf_ca1__210014_024_edited.swc,pyramidal,56052,0.9766,0.6962
neurom_rf,hpf_ca1__210014_033_edited.swc,pyramidal,73147,0.9889,0.8835
neurom_rf,hpf_ca1__210014_035_edited.swc,pyramidal,22812,0.9563,0.8020
neurom_rf,hpf_ca1__210014_050_edited.swc,pyramidal,25357,0.9457,0.7809
neurom_rf,hpf_ca1__210014_061_edited.swc,pyramidal,45975,0.9395,0.7850
neurom_rf,hpf_ca1__210014_069_edited.swc,pyramidal,17111,0.9365,0.7263
neurom_rf,hpf_ca1__210014_070_edited.swc,pyramidal,12944,0.9010,0.7303
neurom_rf,hpf_ca1__210107_014_edited.swc,pyramidal,25819,0.9427,0.8243
neurom_rf,hpf_ca1__210107_018_edited.swc,pyramidal,19372,0.9598,0.8876
neurom_rf,hpf_ca1__210107_026_edited.swc,pyramidal,17838,0.9587,0.8457
neurom_rf,hpf_ca1__210107_029_edited.swc,pyramidal,12726,0.1286,0.3481
neurom_rf,hpf_ca1__210107_034_edited.swc,pyramidal,23453,0.9509,0.8347
neurom_rf,hpf_ca1__210107_053_edited.swc,pyramidal,15647,0.9415,0.8477
neurom_rf,hpf_ca1__210109_005_edited.swc,pyramidal,66088,0.9913,0.9216
neurom_rf,hpf_ca1__210109_012_edited.swc,pyramidal,24637,0.9644,0.8717
neurom_rf,hpf_ca1__210109_015_edited.swc,pyramidal,23982,0.9563,0.8618
neurom_rf,hpf_ca1__210109_025_edited.swc,pyramidal,16445,0.9276,0.7970
neurom_rf,hpf_ca1__210109_032_edited.swc,pyramidal,53443,0.9746,0.8309
neurom_rf,hpf_ca1__210110_003_edited.swc,pyramidal,26920,0.9660,0.8838
neurom_rf,hpf_ca1__210110_008_edited.swc,pyramidal,15109,0.9527,0.8501
neurom_rf,hpf_ca1__210110_013_edited.swc,pyramidal,19400,0.9538,0.8528
neurom_rf,hpf_ca1__210110_034_edited.swc,pyramidal,21694,0.9579,0.8368
neurom_rf,hpf_ca1__210110_047_edited.swc,pyramidal,12428,0.9263,0.8443
neurom_rf,hpf_ca1__210110_054_edited.swc,pyramidal,62732,0.9688,0.8524
neurom_rf,hpf_ca1__210110_057_edited.swc,pyramidal,26528,0.9491,0.8602
neurom_rf,hpf_ca1__210110_066_edited.swc,pyramidal,34730,0.8940,0.7996
neurom_rf,hpf_ca1__210111_011_edited.swc,pyramidal,30565,0.9579,0.7633
neurom_rf,hpf_ca1__210111_014_edited.swc,pyramidal,17850,0.9178,0.8068
neurom_rf,hpf_ca1__210111_016_edited.swc,pyramidal,25883,0.9608,0.8558
neurom_rf,hpf_ca1__210111_100_edited.swc,pyramidal,18638,0.9716,0.9246
neurom_rf,hpf_ca1__210111_161_edited.swc,pyramidal,23406,0.8413,0.7445
neurom_rf,hpf_ca1__210131_004_edited.swc,pyramidal,16567,0.9625,0.8984
neurom_rf,hpf_ca1__210131_005_edited.swc,pyramidal,16445,0.9524,0.9029
neurom_rf,hpf_ca1__210132_003_edited.swc,pyramidal,14079,0.9567,0.8871
neurom_rf,hpf_ca1__210248_017_edited.swc,pyramidal,31064,0.9338,0.8054
neurom_rf,hpf_ca1__210249_002_edited.swc,pyramidal,8538,0.9302,0.8678
neurom_rf,hpf_ca1__210249_005_edited.swc,pyramidal,29807,0.9490,0.7772
neurom_rf,hpf_ca1__210253_001_edited.swc,pyramidal,29412,0.9510,0.8255
neurom_rf,hpf_ca1__210253_028_edited.swc,pyramidal,46407,0.9652,0.8479
neurom_rf,hpf_ca1__210668_015_edited.swc,pyramidal,49748,0.9751,0.7984
neurom_rf,hpf_ca1__210669_016_edited.swc,pyramidal,19240,0.9232,0.7718
neurom_rf,hpf_ca1__210670_015_edited.swc,pyramidal,10400,0.9447,0.8615
neurom_rf,hpf_ca1__210670_019_edited.swc,pyramidal,32268,0.9408,0.7794
neurom_rf,hpf_ca1__210670_023_edited.swc,pyramidal,17822,0.9731,0.8887
neurom_rf,hpf_ca1__210670_030_edited.swc,pyramidal,64296,0.9703,0.7220
neurom_rf,hpf_ca1__210671_026_edited.swc,pyramidal,32120,0.9712,0.8648
neurom_rf,hpf_ca1__210671_033_edited.swc,pyramidal,30989,0.9781,0.8612
neurom_rf,hpf_ca1__210671_036_edited.swc,pyramidal,54496,0.9726,0.8169
neurom_rf,hpf_ca1__210671_037_edited.swc,pyramidal,16483,0.9495,0.8325
neurom_rf,hpf_ca1__210671_061_edited.swc,pyramidal,31839,0.9645,0.8497
neurom_rf,hpf_ca1__210671_062_edited.swc,pyramidal,65754,0.9830,0.8526
neurom_rf,hpf_ca1__210671_066_edited.swc,pyramidal,17967,0.9453,0.7720
neurom_rf,hpf_ca1__210698_006_edited.swc,pyramidal,5408,0.9318,0.9261
neurom_rf,hpf_ca1__210698_025_edited.swc,pyramidal,31047,0.8893,0.8460
neurom_rf,hpf_ca1__210700_004_edited.swc,pyramidal,10312,0.9497,0.8566
neurom_rf,hpf_ca1__210700_006_edited.swc,pyramidal,20808,0.9404,0.8247
neurom_rf,hpf_ca1__210701_011_edited.swc,pyramidal,46371,0.9260,0.7583
neurom_rf,hpf_ca1__210701_016_edited.swc,pyramidal,17884,0.9568,0.8409
neurom_rf,hpf_ca1__210701_018_edited.swc,pyramidal,12621,0.9561,0.8827
neurom_rf,hpf_ca1__210703_021_edited.swc,pyramidal,16838,0.9198,0.8708
neurom_rf,hpf_ca1__210703_025_edited.swc,pyramidal,22735,0.9482,0.7763
neurom_rf,hpf_ca1__210705_003_edited.swc,pyramidal,44365,0.9192,0.8093
neurom_rf,hpf_ca1__210705_006_edited.swc,pyramidal,7450,0.9530,0.9069
neurom_rf,hpf_ca1__210705_011_edited.swc,pyramidal,12317,0.8981,0.8056
neurom_rf,hpf_ca1__210711_018_edited.swc,pyramidal,22248,0.9687,0.9210
neurom_rf,hpf_ca1__210711_026_edited.swc,pyramidal,17814,0.9494,0.8331
neurom_rf,neuromorpho__02a_pyramidal2aFI.swc,pyramidal,1512,0.6706,0.6382
